Name, System, Invite, Unlock, from
Bitch-Ass Tod, Wolf397, earn 15 bounty vouchers, 100k bounty vouchers, 
Bill Turner, Alioth, friendly with Alliance, 50 units Bromellite, Selene Jean
Elvira Martuuk, Khun, travel 300ly, 3 units Soontil Relics, 
The Dweller, Wyrd, deal in 5 black markets, pay 500k cr, 
Felicity Farseer, Deciat, exploration rank Scout, 1 unit Meta-alloys, 
Liz Ryder, Eyrybia, friendly with Eurybia Blue Mafia, 200 units Landmines, 
Mel Brandon, Luchtaine, invitation from Colonia Council, 100k bounty vouchers, Elvira Martuuk
Marsha Hicks, Tir, exploration rank Surveyor, Mine 10 Osmium, The Dweller
Juri Ishmaak, Giryak, 50 combat bonds, provide 100k to 1mil combat bonds, Felicity Farseer
Petra Olmanova, Asura, combat rank Expert, 200 units Progenitor Cells, Bitch-Ass Tod
Etienne Dorn, Los, trade rank Dealer, 25 units Occupied Escape Pods, Liz Ryder
Zacariah Nemo, Yoru, invitation from Party of Yoru, 25 units Xihe Companions, Elvira Martuuk
Lei Cheung, Laksak, trade in 50 markets, 200 units Gold, The Dweller
Bris Dekker, Sol, Friendly with Federation, 1-10 million Federal combat bonds, Juri Ishmaak
Selene Jean, Kuk, mine 500 ore, 10 units Painite, Bitch-Ass Tod
Hera Tani, Kuwemaki, Imperial rank Outsider, 50 units Kamitra Cigars, Liz Ryder
Marco Qwent, Sirius, invitation from Sirius Corp., 25 units Modular Terminals, Elvira Martuuk
Ram Tah, Meene, exploration rank Surveyor, 50 units Classified Scan Databanks, Lei Cheung
The Sarge, Beta-3 Tucani, Federal rank Midshipman, 50 units Aberrant Shield Pattern Analysis, Juri Ishmaak
Didi Vatermann, Leesti, trade rank Merchant, 50 units Lavian Brandy, Selene Jean
Broo Tarquin, Muang, combat rank Competent, 50 units Fujin Tea
Professor Palin, Arque, travel 5000ly, 25 units Sensor Fragments, Marco Qwent
Lori Jameson, Shinrarta Dezhra, combat rank Dangerous, 25 units Kongga Ale, Marco Qwent
Chloe Sedesi, Shenve, travel 5000ly, 25 units Sensor Fragments, Marco Qwent
Tiana Fortune, Achenar, friendly with Empire, 50 units Decoded Emission Data, Hera Tani
Domino Green, Orishis, travel 100ly in shuttles, 5 doses Push,
Kit Fowler, Capoya, sell 10 opinion polls, 5 units Surveillance Equipment, Domino Green
